cod_ibge,municipio,uf,populacao_censo_2022,volume
2612208,Salgueiro,PE,62372,I
5206206,Cristalina,GO,62337,I
2302602,Camocim,CE,62326,I
4303509,Camaquã,RS,62200,I
2203909,Floriano,PI,62036,I
3533403,Nova Odessa,SP,62019,I
3531100,Mongaguá,SP,61951,I
4304705,Carazinho,RS,61804,I
2601904,Bezerros,PE,61694,I
3537305,Penápolis,SP,61679,I
2403608,Extremoz,RN,61635,I
2910701,Euclides da Cunha,BA,61456,I
2308708,Morada Nova,CE,61443,I
3140001,Mariana,MG,61387,I
2313302,Tauá,CE,61227,I
1302900,Maués,AM,61204,I
1301852,Iranduba,AM,61163,I
2402006,Caicó,RN,61146,I
3507001,Boituva,SP,61081,I
1505064,Novo Repartimento,PA,60732,I
2105401,Itapecuru Mirim,MA,60440,I
2704708,Marechal Deodoro,AL,60370,I
2909802,Cruz das Almas,BA,60348,I
3519600,Ibitinga,SP,60033,I
1504802,Monte Alegre,PA,60012,I
3542602,Registro,SP,59947,I
2605202,Escada,PE,59891,I
3502101,Andradina,SP,59783,I
3512803,Cosmópolis,SP,59773,I
2314102,Viçosa do Ceará,CE,59712,I
4318002,São Borja,RS,59676,I
2915601,Itamaraju,BA,59605,I
2103604,Coroatá,MA,59566,I
2307601,Limoeiro do Norte,CE,59560,I
3524709,Jaguariúna,SP,59347,I
2709301,União dos Palmares,AL,59280,I
4110706,Irati,PR,59250,I
4207007,Içara,SC,59035,I
1500206,Acará,PA,59023,I
4306106,Cruz Alta,RS,58913,I
1508308,Viseu,PA,58692,I
2706703,Penedo,AL,58650,I
5100250,Alta Floresta,MT,58613,I
3127107,Frutal,MG,58588,I
4318309,São Gabriel,RS,58487,I
1502939,Dom Eliseu,PA,58484,I
2313500,Trairi,CE,58415,I
3505906,Batatais,SP,58402,I
3152105,Ponte Nova,MG,57776,I
2110005,Santa Luzia,MA,57635,I
2506301,Guarabira,PB,57484,I
1301704,Humaitá,AM,57473,I
3300803,Cachoeiras de Macacu,RJ,56943,I
4207601,Ipira,SC,56876,I
2610608,Paudalho,PE,56665,I
2608909,Limoeiro,PE,56510,I
1502301,Capitão Poço,PA,56506,I
2400208,Açu,RN,56502,I
3540606,Porto Feliz,SP,56497,I
1100288,Rolim de Moura,RO,56406,I
3304300,Rio Bonito,RJ,56276,I
2928604,Santo Amaro,BA,56012,I
5106224,Nova Mutum,MT,55839,I
4114609,Marechal Cândido Rondon,PR,55836,I
3151206,Pirapora,MG,55606,I
2102325,Buriticupu,MA,55499,I
4219309,Videira,SC,55466,I
2609402,Moreno,PE,55292,I
4210100,Mafra,SC,55286,I
3169406,Três Pontas,MG,55255,I
3533908,Olímpia,SP,55074,I
4128203,União da Vitória,PR,55033,I
4203808,Canoinhas,SC,55016,I
2610004,Palmares,PE,54584,I
4321600,Tramandaí,RS,54387,I
4115804,Medianeira,PR,54369,I
2312403,São Gonçalo do Amarante,CE,54143,I
2926608,Ribeira do Pombal,BA,54010,I
1302702,Manicoré,AM,53914,I
3125101,Extrema,MG,53482,I
3131901,Itabirito,MG,53365,I
2112506,Tutóia,MA,53356,I
2304707,Granja,CE,53344,I
4321204,Taquara,RS,53242,I
3546801,Santa Isabel,SP,53174,I
1506187,Rondon do Pará,PA,53143,I
2302206,Beberibe,CE,53114,I
3537800,Piedade,SP,52970,I
1507607,São Miguel do Guamá,PA,52894,I
1508407,Xinguara,PA,52893,I
3118007,Congonhas,MG,52890,I
3161106,São Francisco,MG,52762,I
4216206,São Francisco do Sul,SC,52674,I
3540705,Porto Ferreira,SP,52649,I
4207304,Imbituba,SC,52579,I
1716109,Paraíso do Tocantins,TO,52360,I
3111200,Campo Belo,MG,52277,I
2928802,Santo Estêvão,BA,52276,I
3553708,Taquaritinga,SP,52260,I
1505106,Óbidos,PA,52229,I
3549706,São José do Rio Pardo,SP,52205,I
5210000,Inhumas,GO,52204,I
2602803,Buíque,PE,52097,I
4314050,Parobé,RS,52058,I
5106752,Pontes e Lacerda,MT,52018,I
2905206,Caetité,BA,52012,I
2708600,São Miguel dos Campos,AL,51990,I
3527306,Louveira,SP,51847,I
1303809,São Gabriel da Cachoeira,AM,51795,I
3107406,Bom Despacho,MG,51737,I
3301850,Guapimirim,RJ,51696,I
1501204,Baião,PA,51641,I
4219507,Xanxerê,SC,51607,I
4109807,Ibiporã,PR,51603,I
4218004,Tijucas,SC,51592,I
3503802,Artur Nogueira,SP,51456,I
2112803,Viana,MA,51442,I
1711902,Lagoa da Confusão,TO,51412,I
5213806,Morrinhos,GO,51351,I
2702405,Delmiro Gouveia,AL,51318,I
2515302,Sapé,PB,51306,I
3554805,Tremembé,SP,51173,I
3138401,Leopoldina,MG,51145,I
2902708,Barra,BA,51092,I
2302503,Brejo Santo,CE,51090,I
3128709,Guaxupé,MG,50911,I
2807402,Tobias Barreto,SE,50905,I
1503903,Juruti,PA,50881,I
1508209,Vigia,PA,50832,I
1100114,Jaru,RO,50591,I
5005707,Naviraí,MS,50457,I
3556453,Vargem Grande Paulista,SP,50415,I
2702306,Coruripe,AL,50414,I
2302404,Boa Viagem,CE,50411,I
3510401,Capivari,SP,50068,I
3528403,Mairinque,SP,50027,I
1503705,Itupiranga,PA,49754,I
4304507,Canguçu,RS,49680,I
2613008,São Bento do Una,PE,49449,I
4120606,Prudentópolis,PR,49393,I
3203908,Nova Venécia,ES,49065,I
4304408,Canela,RS,48946,I
4317400,Santiago,RS,48938,I
3524808,Jales,SP,48776,I
2931905,Tucano,BA,48736,I
2602605,Brejo da Madre de Deus,PE,48648,I
5006200,Nova Andradina,MS,48563,I
3549409,São Joaquim da Barra,SP,48558,I
5218508,Quirinópolis,GO,48447,I
2902104,Araci,BA,48294,I
2925105,Poções,BA,48293,I
4117602,Palmas,PR,48247,I
2907509,Catu,BA,48148,I
3107307,Bocaiúva,MG,48032,I
2201200,Barras,PI,47938,I
4307609,Estância Velha,RS,47924,I
4104006,Campina Grande do Sul,PR,47825,I
2921500,Monte Santo,BA,47780,I
3121605,Diamantina,MG,47702,I
3143104,Monte Carmelo,MG,47692,I
2512507,Queimadas,PB,47658,I
2312304,São Benedito,CE,47640,I
3531308,Monte Alto,SP,47574,I
2200400,Altos,PI,47453,I
4313508,Osório,RS,47396,I
2412203,São José de Mipibu,RN,47286,I
5007901,Sidrolândia,MS,47118,I
3508405,Cabreúva,SP,47011,I
3509700,Campos do Jordão,SP,46974,I
5001102,Aquidauana,MS,46803,I
3136306,João Pinheiro,MG,46801,I
4206504,Guaramirim,SC,46711,I
3546405,Santa Cruz do Rio Pardo,SP,46442,I
2306306,Itapajé,CE,46426,I
2110500,São Bento,MA,46395,I
3510203,Capão Bonito,SP,46337,I
2708006,Santana do Ipanema,AL,46220,I
2929909,Seabra,BA,46160,I
2615300,Timbaúba,PE,46147,I
2211100,União,PI,46119,I
3301306,Casimiro de Abreu,RJ,46110,I
4218202,Timbó,SC,46099,I
2917607,Jaguaquara,BA,45964,I
4117503,Paiçandu,PR,45962,I
5102637,Campo Novo do Parecis,MT,45899,I
5105150,Juína,MT,45869,I
3130101,Igarapé,MG,45847,I
2202208,Campo Maior,PI,45793,I
1501782,Breu Branco,PA,45712,I
2308104,Mauriti,CE,45561,I
3514403,Dracena,SP,45474,I
1302405,Lábrea,AM,45448,I
4202107,Barra Velha,SC,45369,I
1504901,Muaná,PA,45368,I
4201307,Araquari,SC,45283,I
3525102,Jardinópolis,SP,45282,I
3303807,Paraty,RJ,45243,I
5211800,Jaraguá,GO,45223,I
4106407,Cornélio Procópio,PR,45206,I
2109106,Presidente Dutra,MA,45155,I
2920700,Maraú,BA,45124,I
3304755,São Francisco de Itabapoana,RJ,45059,I
5005400,Maracaju,MS,45047,I
4113205,Lapa,PR,45003,I
2300309,Acopiara,CE,44962,I
4107207,Dois Vizinhos,PR,44869,I
3536703,Pederneiras,SP,44827,I
3158953,Santana do Paraíso,MG,44800,I
